CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
138,Plot 134,134,5,6,1,1.1,0.86,1.68,1.74,1.22,5.5,65.05,15,20,30.48
139,Plot 135,135,5,7,1,0.38,0.99,1.73,1.44,1.07,5.23,67.4,22.5,17,35.56
140,Plot 136,136,5,8,1,0.43,1.39,1.96,1.25,0.86,5.46,64.35,33,40,40.64
141,Plot 137,137,5,9,1,0.45,0.94,1.63,1.49,0.87,4.93,70.45,28.5,19.5,30.48
142,Plot 138,138,5,10,1,0.55,2.13,2.51,1.85,1.2,7.69,65.25,39,36.5,43.18
143,Plot 139,139,5,11,1,0.38,2.43,1.87,1.36,0.99,6.65,70.25,36,35.5,43.18
144,Plot 140,140,5,12,1,0.53,0.74,1.08,0.96,0.58,3.36,66.6,26.5,19.5,43.18
145,Plot 141,141,5,13,1,0.75,1.7,1.76,1.29,1.05,5.8,70.45,20,30,30.48
146,Plot 142,142,5,14,1,0.45,2.11,1.33,0.96,0.66,5.06,65.3,22,35,45.72
147,Plot 143,143,5,15,1,0.33,0.69,1.18,0.96,0.73,3.56,69.6,11.5,21,38.1
148,Plot 144,144,5,16,1,0.4,1,1.1,0.99,0.69,3.78,65.35,30,30,40.64
149,Plot 145,145,5,17,1,1.25,1.62,1.64,1.3,1.3,5.86,65.6,20,42,35.56
150,Plot 146,146,5,18,1,0.65,2.3,1.93,1.31,1.23,6.77,64.05,35,37.5,40.64
151,Plot 147,147,5,19,1,0.5,1.31,1.49,1.21,0.97,4.98,66.55,36,20.5,38.1
152,Plot 148,148,5,20,1,0.55,1.85,2.2,1.39,1.11,6.55,63.4,33,36,43.18
153,Plot 149,149,5,21,1,0.48,2.71,2.83,1.78,1.26,8.58,67.7,33,43,38.1
154,Plot 150,150,5,22,1,0.33,1.95,2.15,1.29,1.15,6.54,61.85,25,24.5,38.1
155,Plot 151,151,5,23,1,0.45,2.43,2.31,1.58,1.2,7.52,70.85,36,43,38.1
156,Plot 152,152,5,24,1,0.35,1.79,2.4,1.15,0.95,6.29,65.95,33,37.5,35.56
157,Plot 153,153,5,25,1,0.33,0.08,0.97,0.36,0.23,1.64,65.15,9,13.5,30.48
158,Plot 154,154,5,26,1,0.63,2.38,3.2,1.91,1.35,8.84,66.7,42,40,35.56
159,Plot 155,155,5,27,1,0.68,1.32,2.32,1.02,0.75,5.41,63.7,35,32.5,27.94
160,Plot 156,156,5,28,1,0.35,2.53,2.78,1.72,1.13,8.16,69.6,28.5,37,30.48
161,Plot 157,157,5,29,1,0.63,0.85,1.84,1.22,1.01,4.92,66.65,31,24,38.1
162,Plot 158,158,5,30,1,0.68,2.73,2.86,1.8,1.13,8.52,60.5,44.5,40,40.64
163,Plot 159,159,5,31,1,0.53,2.55,2.93,1.9,1.5,8.88,66.7,37,43,33.02
164,Plot 160,160,5,32,1,0.5,1.9,2.55,1.36,1.26,7.07,63.25,33,36,43.18
165,EXTRA,CK,5,33,1,NA,1.87,2.14,1.16,1.12,6.29,NA,NA,NA,38.1
166,Plot 161,161,6,1,1,0.3,2.8,1.54,1.56,0.9,6.8,66.2,28,30,25.4
167,Plot 162,162,6,2,1,0.3,1.46,2.42,1.72,0.94,6.54,62.4,32,35,35.56
168,Plot 163,163,6,3,1,0.5,1.93,2.16,1.86,1.28,7.23,66.6,27.5,26.5,43.18
169,Plot 164,164,6,4,1,0.38,1.75,1.88,1.34,0.9,5.87,68.15,30,28,48.26
170,Plot 165,165,6,5,1,0.55,2.86,1.88,1.84,1.52,8.1,63.95,40,40,48.26
171,Plot 166,166,6,6,1,0.33,1,2.24,0.91,0.95,5.1,70.6,39,18,35.56
172,Plot 167,167,6,7,1,0.45,2.35,2.81,2.23,1.6,8.99,69.8,28,39,60.96
173,Plot 168,168,6,8,1,0.48,1.74,1.6,1.29,1.03,5.66,67.25,13,25,45.72
174,Plot 169,169,6,9,1,0.43,2.51,2.15,1.86,1.32,7.84,69.8,34,28.5,50.8
175,Plot 170,170,6,10,1,0.3,1.74,2.07,1.01,0.49,5.31,63.8,24.5,27,40.64
176,Plot 171,171,6,11,1,0.63,1.6,1.83,1.61,1.24,6.28,64,30,22,45.72
177,Plot 172,172,6,12,1,0.3,1.81,1.53,1.37,0.88,5.59,62.6,30.5,41.5,48.26
178,Plot 173,173,6,13,1,0.63,2.05,2.39,1.79,1.29,7.52,66.55,29,30,40.64
179,Plot 174,174,6,14,1,0.25,1.61,1.52,1.5,0.97,5.6,62.25,31,35,40.64
180,Plot 175,175,6,15,1,0.33,0.57,0.85,1.15,0.82,3.39,65.75,17.5,19,48.26
181,Plot 176,176,6,16,1,0.53,1.65,1.55,1.14,0.5,4.84,69.5,33.5,26,35.56
182,Plot 177,177,6,17,1,0.43,1.86,1.77,1.74,1.22,6.59,64.25,34.5,46,50.8
183,Plot 178,178,6,18,1,0.5,1.46,1.79,1.71,1.45,6.41,69.75,33,26,30.48
184,Plot 179,179,6,19,1,0.3,2.05,1.86,1.26,1.05,6.22,68,36,35,40.64
185,Plot 180,180,6,20,1,0.43,1.44,1.19,0.74,0.36,3.73,63.7,12,21.5,27.94
186,Plot 181,181,6,21,1,0.25,1.34,0.97,0.92,0.84,4.07,67.9,13,28.5,38.1
187,Plot 182,182,6,22,1,0.23,0.92,1.05,1.09,0.86,3.92,66.9,15,18.5,35.56
188,Plot 183,183,6,23,1,0.23,1.07,1.65,1.14,1.03,4.89,68.85,30.5,28,30.48
189,Plot 184,184,6,24,1,0.58,1.2,1.76,1.42,1.08,5.46,63.95,23,28.5,30.48
190,Plot 185,185,6,25,1,0.43,0.69,1.14,0.86,0.54,3.23,69.05,11,23.5,33.02
191,Plot 186,186,6,26,1,0.43,2.31,1.97,1.25,1.13,6.66,67.1,33,40,30.48
192,Plot 187,187,6,27,1,0.15,0.13,0.58,0.49,0.46,1.66,64.55,28.5,22.5,30.48
193,Plot 188,188,6,28,1,0.85,0.71,1.32,0.46,0.35,2.84,62.4,23,12.5,35.56
194,Plot 189,189,6,29,1,0.6,1.81,1.92,1.1,0.85,5.68,68.15,25.5,25,33.02
195,Plot 190,190,6,30,1,0.3,1.4,1.47,1,0.86,4.73,63.8,22.5,21.5,30.48
196,Plot 191,191,6,31,1,0.2,0.96,1.22,0.96,0.61,3.75,69.4,26.5,24.5,35.56
197,Plot 192,192,6,32,1,0.5,1.01,1.39,0.71,0.77,3.88,67.8,13,30,20.32
198,EXRA,CK,6,33,1,NA,2.21,2.25,1.34,1.21,7.01,NA,NA,NA,45.72
199,Plot 193,193,7,1,1,0.43,0.13,0.63,0.68,0.53,1.97,68.25,26,12.5,33.02
200,Plot 194,194,7,2,1,0.73,2.01,1.63,1.13,0.66,5.43,66.05,34.5,40,43.18
201,Plot 195,195,7,3,1,0.55,1.15,2.11,1.35,0.82,5.43,67.35,35,18,45.72
202,Plot 196,196,7,4,1,0.58,0.3,1.04,0.74,0.26,2.34,56.6,15,10.5,30.48
203,Plot 197,197,7,5,1,0.75,0.34,1.55,0.84,0.56,3.29,65.2,22.5,16,33.02
204,Plot 198,198,7,6,1,0.55,1.6,2.43,1.47,0.96,6.46,62.95,23.5,27.5,43.18
205,Plot 199,199,7,7,1,0.45,1,1.32,1.1,0.78,4.2,64.75,28,32.5,38.1
206,Plot 200,200,7,8,1,0.65,2.21,1.96,1.47,1.33,6.97,67.4,28.5,40.5,45.72
207,Plot 201,201,7,9,1,0.73,1.73,1.46,1.36,0.91,5.46,62.45,34.5,39,45.72
208,Plot 202,202,7,10,1,0.63,0.81,1.23,1.02,0.52,3.58,68.35,14,13.5,43.18
209,Plot 203,203,7,11,1,0.55,0.2,0.73,0.42,0.65,2,42.1,10,9.5,25.4
210,Plot 204,204,7,12,1,0.55,0.31,0.79,0.79,0.06,1.95,67.2,22,11.5,43.18
211,Plot 205,205,7,13,1,0.73,2.35,2.04,1.61,1.11,7.11,67.1,33,31,45.72
212,Plot 206,206,7,14,1,0.7,0.73,1.6,1.33,0.94,4.6,65.7,32.5,17.5,43.18
213,Plot 207,207,7,15,1,0.58,0.75,1.4,1.12,0.74,4.01,64.3,22,31,30.48
214,Plot 208,208,7,16,1,0.78,2.31,2.31,1.45,1.1,7.17,71.35,18.5,40,40.64
215,Plot 209,209,7,17,1,0.53,0.43,1.07,1.03,0.73,3.26,69.85,29.5,37.5,43.18
216,Plot 210,210,7,18,1,0.95,1.95,2.18,1.44,1.24,6.81,67.6,27.5,27,38.1
217,Plot 211,211,7,19,1,0.43,0.54,0.6,0.36,0.26,1.76,71.55,21.5,14,30.48
218,Plot 212,212,7,20,1,0.9,1.3,1.36,0.54,0.18,3.38,54.6,38,20,25.4
219,Plot 213,213,7,21,1,0.73,1.45,2.07,1.18,0.89,5.59,67.1,29,27.5,27.94
