CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
1846,590.C-478,478,19,14,3,0.35,2.5,2.19,1.13,0.75,6.57,72,25,20,30.48
1847,591.C-470,470,19,15,3,0.28,1.1,1.26,0.6,0.48,3.44,68.1,26,23,27.94
1848,592.C-544,544,19,16,3,0.38,1.42,1.58,0.67,0.54,4.21,65.2,22,16.5,25.4
1849,593.C-37,37,19,17,3,0.4,1.47,2.28,0.87,0.77,5.39,70.2,27.5,23,25.4
1850,594.C-141,141,19,18,3,0.4,0.92,1.49,0.7,0.47,3.58,67.25,16,17.5,25.4
1851,595.C-419,419,19,19,3,0.53,2.06,2.08,1.3,0.84,6.28,72.45,25,38.5,30.48
1852,596.C-179,179,19,20,3,0.28,1.21,1.65,1.03,0.68,4.57,65.7,22.5,26.5,30.48
1853,597.C-491,491,19,21,3,0.33,1.32,1.95,0.54,0.43,4.24,63.3,30,22.5,35.56
1854,598.C-532,532,19,22,3,0.38,2.76,2.92,1.44,1,8.12,73.55,28.5,26,30.48
1855,599.C-420,420,19,23,3,0.2,1.86,2.54,1.53,1,6.93,62.55,40,30,43.18
1856,600.C-392,392,19,24,3,1.05,1.08,0.52,0.04,0.26,1.9,65,10,15,15.24
1857,EXTRA,CK,19,25,3,NA,2.56,2.55,1.56,0.58,7.25,NA,NA,30,55.88
