"Trait","varG","varE","h2","outliers","r2","cv"
"sep_21",0.011,0.013,0.69,2,0.704,21.8
"may_22",0.424,0.157,0.88,2,0.835,21.61
"jul_22",0.259,0.211,0.78,0,0.69,21.59
"aug_22",0.087,0.063,0.8,0,0.758,20.44
"sep_22",0.056,0.049,0.76,2,0.684,20.91
"may_23",0.122,0.571,0.36,0,0.333,39.26
"jun_23",0.049,0.074,0.64,1,0.588,32.68
"jul_23",0.015,0.054,0.42,3,0.494,43.84
"aug_23",0.03,0.077,0.51,10,0.888,20.96
